encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1109.3333333333333,6.666666666666667,640,3,2048.0,5.333333333333333,4.0,1.6666666666666667,0.3156810998916626,23.843228816986084,0.006185956432901486,7.468400784507703
512,6,1450.6666666666667,4.0,512,3,1365.3333333333333,2.6666666666666665,3.3333333333333335,2.3333333333333335,0.30638277530670166,16.90833270549774,0.0055233079142172565,1.5317586001732821
512,6,1450.6666666666667,6.0,640,6,1877.3333333333333,5.333333333333333,3.6666666666666665,1.6666666666666667,0.3059804439544678,33.88640284538269,0.008279630122639221,1.3887045181076805
512,6,938.6666666666666,4.666666666666667,640,5,1024.0,6.4,4.0,2.8,0.3051459789276123,33.134207129478455,0.0032710679329734822,3.4863211046940745
640,6,1962.6666666666667,4.333333333333333,640,6,2133.3333333333335,4.666666666666667,4.0,1.8333333333333333,0.30493736267089844,27.548179030418396,0.0035723028335026973,1.9070919019964374
512,6,2133.3333333333335,5.333333333333333,640,3,1365.3333333333333,4.666666666666667,3.3333333333333335,3.0,0.3030747175216675,27.095139026641846,0.003360368786824218,1.304923148575539
640,6,1877.3333333333333,6.666666666666667,640,3,2389.3333333333335,4.666666666666667,2.6666666666666665,2.0,0.304490327835083,35.119667649269104,0.0036411315920828473,0.8656083422933035
512,6,2389.3333333333335,4.0,640,3,1024.0,4.666666666666667,2.6666666666666665,2.0,0.3035515546798706,20.259350538253784,0.0014581073664710615,2.914113195994123
512,6,1621.3333333333333,4.0,512,5,1638.4,6.8,4.4,1.8,0.3024488687515259,15.822723507881165,0.003967152574893143,0.35174329309367314
640,6,2730.6666666666665,5.666666666666667,512,2,512.0,2.0,3.0,3.0,0.3051161766052246,15.521064400672913,0.004738850405287971,0.29205321603809364
