encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1194.6666666666667,5.0,512,4,2048.0,8.0,6.5,1.25,0.31153857707977295,30.46606481075287,0.005844732357764664,5.39909285944075
512,6,2389.3333333333335,3.3333333333333335,512,1,1024.0,2.0,2.0,2.0,0.3017932176589966,28.625383973121643,0.002417067562188219,3.5598083065244954
512,6,1536.0,5.333333333333333,512,6,1365.3333333333333,4.666666666666667,3.0,1.5,0.30303001403808594,28.516948223114014,0.0023481506828775655,4.06599793832798
512,6,1109.3333333333333,3.6666666666666665,512,5,1945.6,4.4,4.8,2.2,0.30322372913360596,27.978673577308655,0.0028313382651333637,1.495677477456776
640,6,2474.6666666666665,4.0,512,3,2048.0,4.666666666666667,5.333333333333333,2.0,0.30253827571868896,26.915699243545532,0.003142096317553246,0.9831064093623599
640,6,1024.0,4.666666666666667,640,5,1331.2,5.6,4.0,2.0,0.3024786710739136,30.946150422096252,0.002673211836032132,2.5777434206823315
512,6,1536.0,6.666666666666667,512,6,2218.6666666666665,4.666666666666667,5.0,1.6666666666666667,0.30359625816345215,28.85216474533081,0.0030762868952529175,2.4115628573641836
512,6,1962.6666666666667,5.333333333333333,640,1,3072.0,8.0,4.0,3.0,0.302240252494812,28.282955288887024,0.002436829675933489,1.666502152410602
512,6,1280.0,4.0,640,6,1792.0,3.6666666666666665,3.6666666666666665,2.1666666666666665,0.3019869327545166,28.977423906326294,0.0015789606784522062,2.4512730401782212
512,6,1962.6666666666667,4.333333333333333,640,5,1740.8,4.8,4.0,1.8,0.30197203159332275,30.041873455047607,0.0033057412529394095,1.4992555660486986
512,6,1536.0,5.0,512,4,768.0,4.5,5.0,1.75,0.3025829792022705,29.78852391242981,0.0025482292727357983,1.711677929916631
512,6,1877.3333333333333,4.666666666666667,640,1,2048.0,8.0,4.0,1.0,0.30250847339630127,53.82697284221649,0.0032078362062363357,1.819570079242232
640,6,1450.6666666666667,3.3333333333333335,512,2,2560.0,5.0,3.0,1.5,0.302731990814209,43.33089292049408,0.002377470812222854,5.644011739306153
512,6,2218.6666666666665,5.0,640,3,2389.3333333333335,2.0,4.666666666666667,2.0,0.30305981636047363,58.62914025783539,0.0052070550811553476,3.7375132120532415
512,6,1621.3333333333333,4.666666666666667,512,5,2560.0,4.8,3.2,1.6,0.3031790256500244,62.254950404167175,0.003920223360482316,7.5396155032888075
640,6,1792.0,3.6666666666666665,512,4,1152.0,4.5,5.0,2.0,0.30441582202911377,66.440150141716,0.003175555972214991,0.8621771143433631
640,6,1109.3333333333333,5.666666666666667,640,5,1740.8,3.6,5.2,1.8,0.3024935722351074,57.19088017940521,0.0028039535251472175,2.7897399717237397
640,6,2133.3333333333335,4.333333333333333,512,4,1792.0,5.5,3.0,1.75,0.3063380718231201,67.24664568901062,0.006779160417820453,0.6763847891544595
512,6,1877.3333333333333,4.0,640,1,512.0,8.0,8.0,3.0,0.304296612739563,64.34182822704315,0.007407645852854213,5.7934198439507805
512,6,1365.3333333333333,4.333333333333333,640,3,2730.6666666666665,6.666666666666667,4.666666666666667,1.3333333333333333,0.3035813570022583,67.9055005311966,0.0026798486257791293,0.9720322608843167
640,6,1621.3333333333333,4.0,512,5,1638.4,4.8,4.0,2.0,0.30590593814849854,59.01533365249634,0.0033890561044274694,3.946435475345753
640,6,1962.6666666666667,5.333333333333333,512,4,1280.0,5.0,3.5,1.75,0.306934118270874,60.82172691822052,0.003200802722949502,3.9603472937771906
512,6,1962.6666666666667,4.333333333333333,640,3,2218.6666666666665,4.0,2.6666666666666665,2.3333333333333335,0.3087669610977173,68.14199686050415,0.007409444137983579,0.6044510729553214
640,6,1877.3333333333333,5.333333333333333,640,6,1706.6666666666667,3.6666666666666665,5.666666666666667,1.8333333333333333,0.3031045198440552,64.62371349334717,0.0028681154925591186,4.701913741632558
512,6,1536.0,5.0,512,5,1536.0,6.4,5.6,1.8,0.3056526184082031,62.07023561000824,0.0019822465358157026,3.1481374097887613
640,6,2218.6666666666665,4.333333333333333,640,6,1536.0,3.6666666666666665,3.6666666666666665,1.6666666666666667,0.3034919500350952,41.90598428249359,0.001600401361474751,4.969231647225617
640,6,2474.6666666666665,4.333333333333333,640,6,1962.6666666666667,2.6666666666666665,4.666666666666667,2.0,0.3031492233276367,44.30869221687317,0.004235705853567092,4.859535747008559
512,6,2218.6666666666665,4.333333333333333,512,6,2218.6666666666665,4.666666666666667,5.333333333333333,2.3333333333333335,0.30253827571868896,59.106335043907166,0.003252108020528249,3.3098288259350848
512,6,2304.0,6.0,512,6,1194.6666666666667,5.333333333333333,4.333333333333333,2.1666666666666665,0.30416250228881836,53.130000829696655,0.002940025914940482,3.1208365430743483
512,6,1706.6666666666667,4.333333333333333,512,1,2048.0,4.0,4.0,1.0,0.3021061420440674,41.74642264842987,0.002435599241496256,3.6290288585494905
640,6,1706.6666666666667,4.0,512,1,1024.0,2.0,4.0,3.0,0.3021359443664551,46.06476426124573,0.003599548136445105,2.8542346464384467
512,6,1962.6666666666667,4.333333333333333,640,6,1536.0,4.333333333333333,4.333333333333333,2.1666666666666665,0.3025233745574951,43.748676776885986,0.0030320842373384015,3.4251486497433525
512,6,1024.0,4.333333333333333,640,6,1365.3333333333333,5.333333333333333,5.666666666666667,2.0,0.30303001403808594,45.470744371414185,0.0020938119972050543,2.7171266606389266
512,6,1877.3333333333333,5.0,640,6,1792.0,4.0,3.6666666666666665,2.1666666666666665,0.3021806478500366,45.90730369091034,0.002124081996409675,2.8354474303864414
640,6,1706.6666666666667,4.333333333333333,640,5,1433.6,4.8,4.4,2.2,0.30225515365600586,43.37559640407562,0.0022021476271046597,2.6124098577165697
640,6,1365.3333333333333,3.3333333333333335,512,3,1194.6666666666667,4.0,4.666666666666667,2.0,0.30234456062316895,46.59204185009003,0.003370562292316269,2.7926756614278503
512,6,1877.3333333333333,5.0,512,1,3072.0,4.0,2.0,2.0,0.3018975257873535,46.263232827186584,0.0013287959581379863,2.787602082685425
640,6,1621.3333333333333,6.333333333333333,512,5,1843.2,4.0,5.6,1.8,0.30177831649780273,46.40239477157593,0.0017611130121581741,2.7495978238317886
640,6,1365.3333333333333,5.0,640,6,1536.0,6.0,5.333333333333333,2.5,0.3026425838470459,45.612633228302,0.0028233670177305365,2.770082589868738
512,6,1621.3333333333333,5.0,640,3,2048.0,6.666666666666667,4.0,2.6666666666666665,0.30256807804107666,45.81901431083679,0.0024812558837726396,3.0310110602967746
512,6,2304.0,4.666666666666667,640,2,512.0,3.0,3.0,1.0,0.3033578395843506,46.0602343082428,0.003299185737939747,2.5850214065571824
640,6,1450.6666666666667,4.666666666666667,512,6,1450.6666666666667,5.333333333333333,5.0,2.5,0.30265748500823975,44.99387741088867,0.001576920267659537,2.7813092347441786
640,6,1365.3333333333333,4.333333333333333,512,6,1280.0,6.666666666666667,5.333333333333333,1.8333333333333333,0.30305981636047363,45.155808329582214,0.0010624851864561968,2.590654492567894
640,6,2133.3333333333335,2.6666666666666665,512,4,1024.0,4.5,7.0,1.75,0.30291080474853516,45.110493898391724,0.004009935424698391,2.7815666207995937
512,6,2218.6666666666665,5.666666666666667,640,1,512.0,8.0,8.0,2.0,0.3066807985305786,47.23682999610901,0.008387421407450754,2.8352014862537382
640,6,1194.6666666666667,5.0,640,5,2048.0,4.0,4.8,2.0,0.3039836883544922,47.048091888427734,0.0025288109106536417,2.7401376297391677
640,6,1621.3333333333333,5.333333333333333,640,4,1152.0,5.5,3.5,2.0,0.30325353145599365,45.027270913124084,0.0008859614429589957,2.6081817235172986
640,6,1024.0,6.333333333333333,512,3,2048.0,4.666666666666667,4.666666666666667,2.3333333333333335,0.3024786710739136,44.94090378284454,0.002052198826043195,2.6603070631027244
640,6,1962.6666666666667,5.333333333333333,640,6,1280.0,4.666666666666667,6.333333333333333,2.1666666666666665,0.3023892641067505,45.703500509262085,0.0030272104138729713,2.839611836747285
640,6,1792.0,4.333333333333333,640,3,2730.6666666666665,5.333333333333333,6.0,2.3333333333333335,0.3018230199813843,45.27951776981354,0.001868714933224425,2.7238250546318006
